sustainability_rating,eco_friendly_manufacturing,carbon_footprint,water_usage,waste_production,recycling_programs,average_price,product_nameproduct_category,sustainability_status,eco_index,sustainability_level,brand_name,brand_category,country_name,region,year,material_type,renewable,product_line,target_audience,market_trend,trend_score,certification,cert_type
3.95,1,15.28,766,16.13,0,30.99,EcoBottle - Office Supplies,Partially Sustainable,3.426,Medium,BioBloom,Local,Egypt,Africa,2019,Glass,Partial,Office Supplies,Business,Rising,3,EU Ecolabel,Environmental
3.29,0,103.77,1079,3.06,0,36.04,GreenCup - Office Supplies,Not Sustainable,1.615,Low,TerraLeaf,Local,Germany,Europe,2018,Stainless Steel,No,Office Supplies,Business,Stable,2,ISO14001,Environmental
3.08,0,14.3,611,0.87,1,0.07,GreenShirt - Toys,Partially Sustainable,5.389,Medium,GreenWorks,Startup,USA,Americas,2021,Bioplastic,Yes,Toys,Kids,Rising,3,GOTS,Environmental
2.99,0,8.5,685,2.19,0,3.72,EcoBrush - Office Supplies,Not Sustainable,2.756,Low,NatureNest,Local,Turkey,Asia,2024,Aluminum,Partial,Office Supplies,Business,Rising,3,None,None
4.82,1,10.79,294,0.95,0,35.03,BioShirt - Clothing,Partially Sustainable,4.351,Medium,PlanetWell,Local,Spain,Europe,2024,Bioplastic,Yes,Clothing,Adults,Declining,1,ISO14001,Environmental
3.6,1,6.17,614,2.56,0,26.62,PureCup - Personal Care,Partially Sustainable,3.391,Medium,ReNewCo,Local,China,Asia,2021,Aluminum,Partial,Personal Care,Adults,Stable,2,Rainforest Alliance,Environmental
2.96,0,150.55,466,1.93,1,36.94,ReBrush - Garden,Not Sustainable,2.363,Low,TerraLeaf,Local,Italy,Europe,2025,Bamboo,Yes,Garden,Household,Stable,2,EU Ecolabel,Environmental
2.4,1,34.43,53,1.69,1,21.95,EcoPack - Toys,Not Sustainable,3.571,Medium,ReNewCo,Local,Spain,Europe,2020,Organic Cotton,Yes,Toys,Kids,Stable,2,EU Ecolabel,Environmental
4.16,1,19.56,288,3.0,1,14.42,PurePack - Garden,Fully Sustainable,6.959,High,EcoMate,Startup,Vietnam,Asia,2020,Glass,Partial,Garden,Household,Rising,3,Energy Star,Energy
2.85,0,15.4,1743,6.95,0,2.95,EcoBottle - Electronics Accessories,Not Sustainable,2.47,Low,Earthly,Local,France,Europe,2019,Hemp,Yes,Electronics Accessories,Business,Rising,3,None,None
3.79,1,12.53,164,7.33,1,48.36,TerraJar - Home,Partially Sustainable,6.736,High,BioBloom,Local,USA,Americas,2025,Bamboo,Yes,Home,Household,Stable,2,EU Ecolabel,Environmental
4.34,1,6.74,216,5.1,1,53.03,EcoCup - Office Supplies,Fully Sustainable,8.132,High,GreenRoots,Local,India,Asia,2023,Organic Cotton,Yes,Office Supplies,Business,Stable,2,Rainforest Alliance,Environmental
3.07,0,18.98,121,1.66,0,37.89,TerraShirt - Packaging,Not Sustainable,2.58,Low,LeafyLiving,Multinational,USA,Americas,2022,Organic Cotton,Yes,Packaging,Business,Declining,1,Fair Trade,Ethical
4.72,1,12.96,932,4.86,0,32.52,TerraToy - Office Supplies,Partially Sustainable,4.178,Medium,PlanetWell,Local,Spain,Europe,2023,Glass,Partial,Office Supplies,Business,Declining,1,None,None
3.83,0,84.69,350,17.15,0,6.0,PureShirt - Packaging,Not Sustainable,2.074,Low,EcoSense,Local,Egypt,Africa,2016,Bioplastic,Yes,Packaging,Business,Rising,3,None,None
4.24,0,17.55,225,4.2,1,7.59,TerraBar - Personal Care,Partially Sustainable,7.214,High,TerraLeaf,Local,Vietnam,Asia,2022,Recycled Plastic,Partial,Personal Care,Adults,Rising,3,FSC,Environmental
3.3,0,30.48,2523,2.93,0,15.87,GreenToy - Electronics Accessories,Not Sustainable,2.529,Low,EcoCraft,Multinational,France,Europe,2024,Hemp,Yes,Electronics Accessories,Business,Declining,1,Energy Star,Energy
3.05,1,57.42,685,3.04,1,33.2,PurePack - Clothing,Partially Sustainable,3.875,Medium,BluePlanet,Multinational,France,Europe,2022,Recycled Plastic,Partial,Clothing,Adults,Declining,1,Cradle to Cradle,Environmental
3.59,1,51.5,169,3.28,0,25.02,PureCup - Toys,Partially Sustainable,2.37,Low,GreenWorks,Startup,China,Asia,2025,Organic Cotton,Yes,Toys,Kids,Rising,3,Cradle to Cradle,Environmental
2.18,0,40.13,819,5.86,0,13.28,GreenPack - Garden,Not Sustainable,1.556,Low,EcoSense,Local,Germany,Europe,2023,Bamboo,Yes,Garden,Household,Rising,3,None,None
2.23,0,19.3,391,2.81,0,14.88,EcoTowel - Clothing,Not Sustainable,1.869,Low,BioBloom,Local,China,Asia,2025,Hemp,Yes,Clothing,Adults,Declining,1,None,None
3.86,1,118.89,446,5.26,1,32.48,GreenPack - Kitchenware,Partially Sustainable,3.527,Medium,GreenWave,Startup,China,Asia,2018,Glass,Partial,Kitchenware,Household,Rising,3,Energy Star,Energy
1.77,1,32.87,728,58.14,0,9.81,PureTowel - Clothing,Not Sustainable,1.332,Low,TerraLeaf,Local,UK,Europe,2023,Recycled Plastic,Partial,Clothing,Adults,Rising,3,ISO14001,Environmental
3.77,0,17.89,91,11.88,1,43.98,GreenCup - Clothing,Partially Sustainable,6.396,High,EcoSense,Local,UK,Europe,2018,Hemp,Yes,Clothing,Adults,Stable,2,Energy Star,Energy
4.21,1,6.54,1755,1.1,1,45.9,EcoToy - Clothing,Fully Sustainable,7.903,High,LeafyLiving,Multinational,Vietnam,Asia,2023,Paperboard,Yes,Clothing,Adults,Declining,1,Cradle to Cradle,Environmental
5.0,1,4.76,130,3.63,0,37.45,EcoBar - Personal Care,Partially Sustainable,4.773,Medium,EcoPure,Local,Egypt,Africa,2024,Paperboard,Yes,Personal Care,Adults,Rising,3,Cradle to Cradle,Environmental
2.1,0,32.74,171,9.08,0,2.21,TerraShirt - Electronics Accessories,Not Sustainable,1.582,Low,TerraLeaf,Local,Italy,Europe,2016,Glass,Partial,Electronics Accessories,Business,Declining,1,None,None
4.89,1,6.05,180,7.06,1,25.44,GreenBar - Toys,Fully Sustainable,9.222,High,LeafyLiving,Multinational,Spain,Europe,2024,Stainless Steel,No,Toys,Kids,Rising,3,Energy Star,Energy
3.7,1,69.91,55,5.08,0,35.9,PureBrush - Home,Partially Sustainable,2.178,Low,PlanetWell,Local,UK,Europe,2020,Recycled Plastic,Partial,Home,Household,Rising,3,Cradle to Cradle,Environmental
4.2,0,4.73,67,6.23,1,41.45,ReCup - Personal Care,Partially Sustainable,8.021,High,EcoCraft,Multinational,USA,Americas,2020,Recycled Plastic,Partial,Personal Care,Adults,Stable,2,Cradle to Cradle,Environmental
3.73,1,26.51,166,5.28,1,36.7,EcoShirt - Home,Partially Sustainable,5.897,Medium,VerdeVibe,Local,Spain,Europe,2023,Organic Cotton,Yes,Home,Household,Rising,3,Energy Star,Energy
2.86,0,157.24,863,1.74,0,33.45,TerraJar - Electronics Accessories,Not Sustainable,1.112,Low,Earthly,Local,USA,Americas,2019,Aluminum,Partial,Electronics Accessories,Business,Declining,1,EU Ecolabel,Environmental
2.62,0,57.46,2109,2.55,1,35.65,PureJar - Toys,Not Sustainable,3.328,Medium,EcoCraft,Multinational,Egypt,Africa,2016,Hemp,Yes,Toys,Kids,Rising,3,EU Ecolabel,Environmental
3.87,1,40.9,3516,3.34,1,22.39,BioBrush - Personal Care,Partially Sustainable,5.493,Medium,Earthly,Local,Vietnam,Asia,2021,Stainless Steel,No,Personal Care,Adults,Declining,1,None,None
2.7,0,11.29,467,7.15,0,26.15,RePack - Clothing,Not Sustainable,2.426,Low,EarthKind,Local,Brazil,Americas,2017,Organic Cotton,Yes,Clothing,Adults,Stable,2,ISO14001,Environmental
4.24,0,16.3,1848,3.05,0,78.2,GreenBottle - Electronics Accessories,Not Sustainable,3.646,Medium,BioBloom,Local,Turkey,Asia,2023,Hemp,Yes,Electronics Accessories,Business,Rising,3,Fair Trade,Ethical
4.06,0,7.21,94,6.19,0,32.25,ReShirt - Electronics Accessories,Not Sustainable,3.787,Medium,Sustainify,Startup,Vietnam,Asia,2020,Hemp,Yes,Electronics Accessories,Business,Stable,2,Fair Trade,Ethical
4.14,1,26.61,305,1.84,0,13.68,PureBottle - Toys,Partially Sustainable,3.27,Medium,EnviroGoods,Startup,Egypt,Africa,2022,Glass,Partial,Toys,Kids,Stable,2,ISO14001,Environmental
3.1,0,53.32,588,1.58,0,28.6,GreenBrush - Packaging,Not Sustainable,2.022,Low,PureCycle,Local,Brazil,Americas,2020,Aluminum,Partial,Packaging,Business,Stable,2,Cradle to Cradle,Environmental
3.85,1,7.47,436,4.4,0,16.36,TerraTowel - Packaging,Partially Sustainable,3.582,Medium,GreenWave,Startup,Egypt,Africa,2016,Aluminum,Partial,Packaging,Business,Rising,3,GOTS,Environmental
3.82,1,31.97,1344,10.85,1,12.53,BioBottle - Kitchenware,Partially Sustainable,5.789,Medium,NatureNest,Local,Vietnam,Asia,2020,Hemp,Yes,Kitchenware,Household,Declining,1,ISO14001,Environmental
2.66,0,43.25,961,8.43,0,79.39,EcoToy - Electronics Accessories,Not Sustainable,1.857,Low,LeafyLiving,Multinational,Egypt,Africa,2023,Stainless Steel,No,Electronics Accessories,Business,Stable,2,None,None
4.01,1,53.65,1087,7.27,1,30.37,BioTowel - Packaging,Fully Sustainable,5.22,Medium,VerdeVibe,Local,Turkey,Asia,2025,Recycled Plastic,Partial,Packaging,Business,Declining,1,EU Ecolabel,Environmental
4.18,1,7.56,247,2.53,0,38.03,GreenBrush - Personal Care,Partially Sustainable,3.886,Medium,PlanetWell,Local,France,Europe,2017,Glass,Partial,Personal Care,Adults,Declining,1,Energy Star,Energy
5.0,1,1.98,586,0.78,1,37.92,GreenPack - Toys,Fully Sustainable,9.806,High,GreenWorks,Startup,India,Asia,2019,Glass,Partial,Toys,Kids,Stable,2,FSC,Environmental
4.48,1,15.96,82,1.94,0,49.99,ReCup - Toys,Partially Sustainable,3.863,Medium,GreenRoots,Local,UK,Europe,2017,Recycled Plastic,Partial,Toys,Kids,Rising,3,ISO14001,Environmental
2.84,1,30.4,519,2.84,0,55.56,RePack - Home,Not Sustainable,2.178,Low,ReNewCo,Local,Germany,Europe,2017,Organic Cotton,Yes,Home,Household,Stable,2,None,None
4.07,1,2.23,425,2.2,0,48.49,PureBrush - Home,Partially Sustainable,3.981,Medium,EnviroGoods,Startup,UK,Europe,2021,Glass,Partial,Home,Household,Stable,2,ISO14001,Environmental
2.79,0,22.16,915,11.26,1,4.9,GreenBrush - Personal Care,Not Sustainable,4.568,Medium,BluePlanet,Multinational,Egypt,Africa,2023,Glass,Partial,Personal Care,Adults,Stable,2,EU Ecolabel,Environmental
3.2,0,13.67,201,23.31,0,33.07,TerraJar - Packaging,Not Sustainable,2.815,Low,LeafyLiving,Multinational,France,Europe,2022,Bamboo,Yes,Packaging,Business,Rising,3,Energy Star,Energy
2.37,0,70.59,7227,14.23,1,4.09,PureBar - Toys,Not Sustainable,2.779,Low,ReNewCo,Local,India,Asia,2022,Recycled Plastic,Partial,Toys,Kids,Stable,2,None,None
3.06,1,81.36,196,7.3,0,37.22,EcoPack - Office Supplies,Partially Sustainable,1.687,Low,ReNewCo,Local,Brazil,Americas,2017,Glass,Partial,Office Supplies,Business,Stable,2,EU Ecolabel,Environmental
2.67,0,24.28,10,2.1,0,17.91,BioCup - Kitchenware,Not Sustainable,2.148,Low,LeafyLiving,Multinational,Brazil,Americas,2024,Organic Cotton,Yes,Kitchenware,Household,Stable,2,None,None
2.38,0,143.8,101,3.77,0,20.76,GreenJar - Garden,Not Sustainable,0.976,Low,EnviroGoods,Startup,Brazil,Americas,2023,Stainless Steel,No,Garden,Household,Rising,3,EU Ecolabel,Environmental
